Product,Brand,URL,Serving_Size,Carbs_per_Serving,Pack_Size
32Gi Race Pro 300 Gel,32Gi,https://32gi.co.za/products/race-pro-300-calorie-energy-gel,100 g gel,67,
32Gi Race Pro Energy Bar (25g),32Gi,https://www.thesweatshop.co.za/products/32gi-race-pro-bar-25g,25 g bar,19,
32Gi Endure Sports Drink (50g sachet),32Gi,https://www.cyclelab.com/product/4011694-suppl-32gi-endure-drink-sachet-orange-50g,50 g sachet,44,
32Gi Race High Intensity Drink (900g tub),32Gi,https://dischemlivingfit.co.za/shop/32gi-race-high-intensity-sports-drink-900g/,900 g tub,816,
Hammer Gel Single (33g),Hammer Nutrition,https://durbanrunner.co.za/products/hammer-gel-chocolate-single,33 g gel,21,
SiSu 2Hr Fuel Cell (120g pouch),SiSu Nutrition,https://sisunutrition.co.za/?product=sisu-2hr-fuel-cell-120-g,120 g gel,75,
SiSu Endurance Fuel (1kg tub),SiSu Nutrition,https://sisunutrition.co.za/?product=sisu-endurance-fuel-1kg,1 kg tub,920,
Red Bull Energy Drink (250 ml can),Groceries,https://www.pnp.co.za/red-bull-energy-drink-250ml,250 ml can,27,
Coca-Cola Classic (330 ml can),Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/pp-red-drinks-400987,330 ml can,35,
Energade Sports Drink Mix (500g),Groceries,https://nutripro.co.za/product/energade-sports-drink-mix,500 g tub,318,
Powerade Sports Drink Mix (400g),Groceries,https://nutripro.co.za/product/powerade-sports-drink-mix,400 g tub,242,
